building_id,site_id,timestamp,error
1218,13,2018-08-10 00:00:00,B
1167,13,2018-08-11 00:00:00,B
1218,13,2018-08-11 00:00:00,B
1167,13,2018-08-12 00:00:00,B
1218,13,2018-08-12 00:00:00,B
1167,13,2018-08-13 00:00:00,B
1218,13,2018-08-13 00:00:00,B
1167,13,2018-08-14 00:00:00,B
1218,13,2018-08-14 00:00:00,B
1167,13,2018-08-15 00:00:00,B
1218,13,2018-08-15 00:00:00,B
1167,13,2018-08-16 00:00:00,B
1218,13,2018-08-16 00:00:00,B
1167,13,2018-08-17 00:00:00,B
1218,13,2018-08-17 00:00:00,B
1167,13,2018-08-18 00:00:00,B
1218,13,2018-08-18 00:00:00,B
1167,13,2018-08-19 00:00:00,B
1218,13,2018-08-19 00:00:00,B
1167,13,2018-08-20 00:00:00,B
1218,13,2018-08-20 00:00:00,B
1167,13,2018-08-21 00:00:00,B
1218,13,2018-08-21 00:00:00,B
1167,13,2018-08-22 00:00:00,B
1218,13,2018-08-22 00:00:00,B
1167,13,2018-08-23 00:00:00,B
1218,13,2018-08-23 00:00:00,B
1167,13,2018-08-24 00:00:00,B
1218,13,2018-08-24 00:00:00,B
1167,13,2018-08-25 00:00:00,B
1218,13,2018-08-25 00:00:00,B
1167,13,2018-08-26 00:00:00,B
1218,13,2018-08-26 00:00:00,B
1167,13,2018-08-27 00:00:00,B
1218,13,2018-08-27 00:00:00,B
1167,13,2018-08-28 00:00:00,B
1218,13,2018-08-28 00:00:00,B
1167,13,2018-08-29 00:00:00,B
1218,13,2018-08-29 00:00:00,B
1167,13,2018-08-30 00:00:00,B
1218,13,2018-08-30 00:00:00,B
1167,13,2018-08-31 00:00:00,B
1218,13,2018-08-31 00:00:00,B
1167,13,2018-09-01 00:00:00,B
1218,13,2018-09-01 00:00:00,B
1167,13,2018-09-02 00:00:00,B
1218,13,2018-09-02 00:00:00,B
1167,13,2018-09-03 00:00:00,B
1218,13,2018-09-03 00:00:00,B
1167,13,2018-09-04 00:00:00,B
1218,13,2018-09-04 00:00:00,B
1167,13,2018-09-05 00:00:00,B
1218,13,2018-09-05 00:00:00,B
1167,13,2018-09-06 00:00:00,B
1218,13,2018-09-06 00:00:00,B
1167,13,2018-09-07 00:00:00,B
1218,13,2018-09-07 00:00:00,B
1167,13,2018-09-08 00:00:00,B
1218,13,2018-09-08 00:00:00,B
1167,13,2018-09-09 00:00:00,B
1218,13,2018-09-09 00:00:00,B
1167,13,2018-09-10 00:00:00,B
1218,13,2018-09-10 00:00:00,B
1167,13,2018-09-11 00:00:00,B
1218,13,2018-09-11 00:00:00,B
1167,13,2018-09-12 00:00:00,B
1218,13,2018-09-12 00:00:00,B
1167,13,2018-09-13 00:00:00,B
1218,13,2018-09-13 00:00:00,B
1167,13,2018-09-14 00:00:00,B
1218,13,2018-09-14 00:00:00,B
1167,13,2018-09-15 00:00:00,B
1218,13,2018-09-15 00:00:00,B
1167,13,2018-09-16 00:00:00,B
1218,13,2018-09-16 00:00:00,B
1167,13,2018-09-17 00:00:00,B
1218,13,2018-09-17 00:00:00,B
1167,13,2018-09-18 00:00:00,B
1218,13,2018-09-18 00:00:00,B
1167,13,2018-09-19 00:00:00,B
1218,13,2018-09-19 00:00:00,B
1167,13,2018-09-20 00:00:00,B
1218,13,2018-09-20 00:00:00,B
1167,13,2018-09-21 00:00:00,B
1218,13,2018-09-21 00:00:00,B
1167,13,2018-09-22 00:00:00,B
1218,13,2018-09-22 00:00:00,B
1167,13,2018-09-23 00:00:00,B
1218,13,2018-09-23 00:00:00,B
1167,13,2018-09-24 00:00:00,B
1218,13,2018-09-24 00:00:00,B
1167,13,2018-09-25 00:00:00,B
1218,13,2018-09-25 00:00:00,B
1167,13,2018-09-26 00:00:00,B
1218,13,2018-09-26 00:00:00,B
1167,13,2018-09-27 00:00:00,B
1218,13,2018-09-27 00:00:00,B
