building_id,meter,rmsle,file_id
162,1,0.019733330234885216,13577404
163,0,0.0,13577404
163,1,1.1304542795187444e-06,13577404
163,3,1.3642452358908486e-06,13577404
164,0,0.0,13577404
165,0,6.660575763817178e-06,13577404
166,0,2.5940903469745535e-07,13577404
166,1,1.6850709698701394e-06,13577404
166,3,0.04295092076063156,13577404
167,0,2.2286403691396117e-06,13577404
167,1,0.022786088287830353,13577404
167,3,1.3424818234852864e-06,13577404
168,0,3.062520761432097e-07,13577404
168,1,1.845710016823432e-06,13577404
168,3,1.625373556635168e-06,13577404
169,0,4.6247782847785857e-07,13577404
169,1,1.6257785091511323e-06,13577404
169,3,0.3777241110801697,13577404
170,0,2.5730219022079837e-06,13577404
170,1,0.054639119654893875,13577404
171,0,1.7528045646031387e-05,13577404
171,1,0.027907144278287888,13577404
171,3,1.928845449583605e-06,13577404
172,0,2.1482853753695963e-06,13577404
172,1,0.04107820242643356,13577404
173,0,1.6889511016415781e-06,13577404
173,1,0.011393043212592602,13577404
174,0,1.257939743481984e-06,13577404
174,1,1.504054466749949e-06,13577404
175,0,1.4892199260430061e-06,13577404
175,1,0.04557217285037041,13577404
175,3,1.8719622403295944e-06,13577404
176,0,3.0318433346110396e-06,13577404
176,1,0.03417913243174553,13577404
176,3,8.920697496250796e-07,13577404
177,0,7.211110641947016e-07,13577404
177,1,5.639352821162902e-06,13577404
177,3,7.584602030874521e-07,13577404
178,0,7.375087989203166e-06,13577404
178,1,0.011393043212592602,13577404
179,0,1.4537715742335422e-06,13577404
179,1,0.025475619360804558,13577404
179,3,2.179480134145706e-06,13577404
180,0,0.0,13577404
180,1,0.04833659157156944,13577404
181,0,9.503305591351818e-07,13577404
181,1,0.011393043212592602,13577404
182,0,0.054069679230451584,13577404
183,0,1.2851814972236753e-06,13577404
183,1,1.3494317272488843e-06,13577404
183,3,1.4901971781000611e-06,13577404
184,0,3.572015430108877e-06,13577404
184,1,0.026815202087163925,13577404
184,3,1.8291208334630937e-06,13577404
185,0,2.0035793113493128e-06,13577404
186,0,0.053410258144140244,13577404
187,0,2.260821929667145e-06,13577404
187,1,0.034181080758571625,13577404
187,3,1.0577913371889736e-06,13577404
188,0,0.0,13577404
188,1,0.0197344571352005,13577404
189,0,5.9357835198170505e-06,13577404
189,1,0.02790714241564274,13577404
190,0,1.2678739267357741e-06,13577404
190,1,1.2998729062019265e-06,13577404
190,3,2.4203784505516523e-06,13577404
191,0,3.3363260172336595e-06,13577404
191,1,0.016112197190523148,13577404
191,3,6.958421749914123e-07,13577404
192,0,2.8719458100567863e-07,13577404
192,1,1.8927858036477119e-06,13577404
192,3,5.192585490476631e-07,13577404
193,0,0.0,13577404
194,0,1.0037044830824016e-06,13577404
194,1,0.016112197190523148,13577404
195,0,0.00740667013451457,13577404
195,1,0.011393043212592602,13577404
195,3,1.7161911500807037e-06,13577404
196,0,0.0,13577404
197,0,2.6897291718341876e-06,13577404
197,1,1.069922973329085e-06,13577404
198,0,1.184752818517154e-06,13577404
198,1,1.3791151332043228e-06,13577404
199,0,0.0,13577404
200,0,1.0176974001296912e-06,13577404
200,1,1.5502183714488638e-06,13577404
200,3,1.608451839274494e-06,13577404
201,0,4.440057921328844e-07,13577404
201,1,1.798557036636339e-06,13577404
201,3,1.944023324540467e-06,13577404
202,0,1.2893461871499312e-06,13577404
202,1,1.6669852129780338e-06,13577404
202,3,1.9319154489494395e-06,13577404
203,0,6.151054208203277e-07,13577404
203,1,1.7488653156760847e-06,13577404
203,3,1.0399231769042672e-06,13577404
204,0,4.854269718634896e-06,13577404
204,1,0.016112197190523148,13577404
205,0,0.0,13577404
205,1,2.7453033908386715e-06,13577404
206,0,1.3268294196677743e-06,13577404
206,1,3.7176130263105733e-06,13577404
206,3,9.399705618307053e-07,13577404
207,0,1.6555645743210334e-06,13577404
207,1,1.3009497479288257e-06,13577404
208,0,2.842862159013748e-06,13577404
208,1,0.025475619360804558,13577404
209,0,4.879360062659543e-07,13577404
209,1,1.6010064882721053e-06,13577404
209,3,0.4192446768283844,13577404
210,0,1.0186365670961095e-06,13577404
210,1,1.3491938943843707e-06,13577404
210,3,1.952820639417041e-06,13577404
